fcst,lb,ub,
365.9444947,365.9444947,365.9444947,
369.371130120973,341.085514967712,	403.747968471885,
373.460914972404,344.856151592044,	408.916415417599,
370.914103362344,342.49579699366,	398.951073105666,
373.954588708005,345.30177977736,	408.304753844199,
374.472896437849,345.778456233711,	406.110643526405,
374.78865943995,346.044194917284,	406.263088623711,
378.481914300944,349.351285812,	414.082243410004,
380.322246467022,351.000608392253,	414.097099084003,
382.009177381017,352.556217736123,	415.758638419595,
385.958264505214,356.19496526259,	422.531860184831,
386.03507031484,356.252860375781,	418.390271988796,
389.268254564273,359.208824915176,	425.376216937748,
391.925763086961,361.660985025314,	427.622737304355,
392.600886504861,362.282916934116,	426.188924446626,
396.009926189577,365.381788308265,	432.932353829288,
397.823311785208,367.051729073421,	433.149023135006,
399.058867729211,368.173515213379,	433.878495351723,
402.23448121405,371.086737979876,	439.466214230925,
403.458178087454,372.215289049644,	438.653969274619,
405.173711355702,373.773938022871,	441.078855833413,
407.805201454995,376.195788279748,	444.941683594138,
408.743557318626,377.061167303095,	444.107586837193,
410.701673857716,378.844747583575,	447.370381453827,
412.693656650453,380.680882520611,	449.568465350948,
413.553502013178,381.471472325419,	449.267754985763,
415.498612764207,383.250131157256,	452.579334428209,
416.896402288955,384.539108649401,	453.496926922279,
417.777276038626,385.346288886053,	453.894702070723,
419.49860741684,386.925746486147,	456.68750279684,
420.426835271305,387.781702502489,	456.828772697974,
421.333406365967,388.611406211701,	457.79570235728,
422.702650253986,389.870925378273,	459.788567972201,
423.304945759737,390.426095651885,	459.606560745378,
424.183188330592,391.230571798206,	460.865532766726,
425.158309188914,392.128887571924,	462.029519875834,
425.557159620945,392.496152322976,	461.835836911234,
426.33339202447,	393.208504183271,	463.091964307077,
426.941003968809,	393.768682595425,	463.567604814909,
427.219387057694,	394.024648231982,	463.512660179322,
427.831162838746,	394.587203336251,	464.540192625339,
428.139216010679,	394.871288754496,	464.544215086991,
428.340308320614,395.056019887644,	464.647004198427,
428.753739001626,	395.436805548506,	465.326436907777,
428.844813137446,	395.520802636019,	465.075256461761,
428.982564900956,	395.647369407236,	465.275817077403,
429.196344214044,	395.844482138124,	465.590172977088,
429.147787643639,	395.799698787275,	465.252976736372,
429.221134495325,	395.867152048637,	465.464913528334,
429.260914149681,	395.903824980016,	465.471658070702,
429.133962913258,	395.786731137119,	465.153277426378,
429.139312487669,	395.791641733134,	465.302512345287,
429.047260306753,	395.706618673729,	465.097263041327,
428.884170975357,	395.556187272431,	464.843474037001,
428.823378594187,	395.50010347781,	464.888435965107,
428.647196947163,	395.337387954491,	464.5726316426,
428.473793144871,	395.177412741281,	464.387681499147,
428.357144909991,	395.069705260265,	464.322846452746,
428.14136870007,	394.870426040647,	463.981811055104,
427.972087119956,	394.714206525736,	463.848742154773,
427.817338014685,	394.571227826046,	463.696999151146,
